Women autonomy,Employment,Household wealth,Education,Region of residence,Household structure,Religion,Age,Place of residence,Marital status,Number of children living,Survey_Weight,PSU_Cluster,Survey_Strata
Yes,yes,poorest,no education,mai-ndombe,Polygamous,jehovah witness,45-49,rural,married,5+,0.203638,1,4
No,no,poorer,primary,mai-ndombe,Monogamous,no religion,20-24,rural,married,1-2,0.203638,1,4
Yes,yes,poorest,primary,mai-ndombe,Polygamous,protestant,35-39,rural,living with partner,5+,0.203638,1,4
No,yes,poorest,no education,mai-ndombe,Monogamous,non denominational/charismatic/apostolic,45-49,rural,married,3-4,0.203638,1,4
Yes,yes,poorest,no education,mai-ndombe,Polygamous,catholic,40-44,rural,married,5+,0.203638,1,4
Yes,no,poorest,secondary,mai-ndombe,Polygamous,kimbanguiste,20-24,rural,living with partner,1-2,0.203638,1,4
No,no,poorer,secondary,mai-ndombe,Monogamous,protestant,25-29,rural,married,1-2,0.203638,1,4
Yes,no,poorest,secondary,mai-ndombe,Monogamous,kimbanguiste,25-29,rural,married,3-4,0.203638,1,4
Yes,no,poorest,no education,mai-ndombe,Monogamous,non denominational/charismatic/apostolic,35-39,rural,married,1-2,0.203638,1,4
No,no,poorest,primary,mai-ndombe,Monogamous,protestant,30-34,rural,living with partner,5+,0.203638,1,4
No,no,poorest,primary,mai-ndombe,Monogamous,non denominational/charismatic/apostolic,20-24,rural,married,1-2,0.203638,1,4
No,no,poorest,secondary,mai-ndombe,Monogamous,non denominational/charismatic/apostolic,20-24,rural,married,1-2,0.203638,1,4
No,yes,poorest,no education,mai-ndombe,Monogamous,catholic,20-24,rural,living with partner,1-2,0.203638,1,4
No,yes,poorest,primary,mai-ndombe,Monogamous,no religion,25-29,rural,living with partner,1-2,0.203638,1,4
No,yes,poorest,no education,mai-ndombe,Monogamous,non denominational/charismatic/apostolic,20-24,rural,living with partner,1-2,0.203638,1,4
No,yes,poorest,primary,mai-ndombe,Monogamous,protestant,25-29,rural,married,3-4,0.203638,1,4
No,yes,poorest,primary,mai-ndombe,Monogamous,catholic,20-24,rural,married,1-2,0.203638,1,4
No,no,poorest,primary,mai-ndombe,Polygamous,non denominational/charismatic/apostolic,35-39,rural,living with partner,3-4,0.203638,1,4
Yes,no,poorest,primary,mai-ndombe,Monogamous,catholic,20-24,rural,married,1-2,0.203638,1,4
Yes,yes,poorest,primary,mai-ndombe,Monogamous,protestant,20-24,rural,living with partner,1-2,0.203638,1,4
No,no,poorest,primary,mai-ndombe,Monogamous,non denominational/charismatic/apostolic,20-24,rural,married,1-2,0.203638,1,4
Yes,yes,poorest,primary,mai-ndombe,Monogamous,protestant,35-39,rural,living with partner,1-2,0.203638,1,4
No,yes,poorest,primary,mai-ndombe,Monogamous,catholic,35-39,rural,married,3-4,0.203638,1,4
Yes,yes,poorest,primary,mai-ndombe,Monogamous,non denominational/charismatic/apostolic,15-19,rural,living with partner,1-2,0.203638,1,4
Yes,yes,poorest,no education,mai-ndombe,Monogamous,protestant,35-39,rural,married,3-4,0.203638,1,4
Yes,yes,poorest,secondary,mai-ndombe,Monogamous,kimbanguiste,25-29,rural,married,3-4,0.203638,1,4
No,no,richer,secondary,kasaï,Monogamous,non denominational/charismatic/apostolic,25-29,urban,living with partner,5+,2.968621,2,50
Yes,no,richest,secondary,kasaï,Monogamous,non denominational/charismatic/apostolic,35-39,urban,married,5+,2.968621,2,50
Yes,yes,richest,secondary,kasaï,Monogamous,non denominational/charismatic/apostolic,30-34,urban,married,5+,2.968621,2,50
No,yes,richest,secondary,kasaï,Monogamous,non denominational/charismatic/apostolic,25-29,urban,married,1-2,2.968621,2,50
No,yes,richer,secondary,kasaï,Monogamous,non denominational/charismatic/apostolic,30-34,urban,married,5+,2.968621,2,50
No,no,richer,no education,kasaï,Monogamous,protestant,15-19,urban,married,0,2.968621,2,50
No,no,richest,secondary,kasaï,Monogamous,non denominational/charismatic/apostolic,35-39,urban,married,1-2,2.968621,2,50
Yes,no,richer,secondary,kasaï,Monogamous,protestant,40-44,urban,married,5+,2.968621,2,50
No,yes,richest,secondary,kasaï,Monogamous,non denominational/charismatic/apostolic,30-34,urban,married,5+,2.968621,2,50
No,yes,richest,secondary,kasaï,Monogamous,protestant,45-49,urban,living with partner,5+,2.968621,2,50
No,no,richest,higher,kasaï,Monogamous,non denominational/charismatic/apostolic,35-39,urban,married,3-4,2.968621,2,50
Yes,yes,richest,higher,kasaï,Monogamous,non denominational/charismatic/apostolic,25-29,urban,married,1-2,2.968621,2,50
No,no,richer,primary,kasaï,Monogamous,non denominational/charismatic/apostolic,25-29,urban,married,3-4,2.968621,2,50
No,yes,richest,secondary,kasaï,Monogamous,non denominational/charismatic/apostolic,25-29,urban,married,5+,2.968621,2,50
Yes,yes,richer,primary,kasaï,Polygamous,non denominational/charismatic/apostolic,40-44,urban,married,5+,2.968621,2,50
Yes,yes,richest,secondary,kasaï,Monogamous,non denominational/charismatic/apostolic,30-34,urban,married,5+,2.968621,2,50
No,no,richest,higher,kasaï,Monogamous,non denominational/charismatic/apostolic,20-24,urban,married,1-2,2.968621,2,50
No,no,richest,secondary,kasaï,Monogamous,non denominational/charismatic/apostolic,25-29,urban,married,3-4,2.968621,2,50
No,yes,richest,secondary,kasaï,Monogamous,non denominational/charismatic/apostolic,30-34,urban,married,1-2,2.968621,2,50
No,no,richer,secondary,kasaï,Monogamous,non denominational/charismatic/apostolic,25-29,urban,married,1-2,2.968621,2,50
Yes,yes,richest,higher,kasaï,Polygamous,non denominational/charismatic/apostolic,40-44,urban,married,5+,2.968621,2,50
Yes,yes,richer,secondary,kasaï,Monogamous,jehovah witness,30-34,urban,married,3-4,2.968621,2,50
No,yes,richest,higher,kasaï,Monogamous,non denominational/charismatic/apostolic,30-34,urban,married,0,2.968621,2,50
No,yes,richer,secondary,kasaï,Monogamous,non denominational/charismatic/apostolic,20-24,urban,living with partner,1-2,2.968621,2,50
No,yes,richer,higher,kasaï,Monogamous,non denominational/charismatic/apostolic,45-49,urban,married,1-2,2.968621,2,50
No,no,richest,secondary,kasaï,Monogamous,non denominational/charismatic/apostolic,35-39,urban,married,5+,2.968621,2,50
Yes,yes,richer,secondary,kasaï,Monogamous,non denominational/charismatic/apostolic,25-29,urban,married,3-4,2.968621,2,50
No,yes,richest,secondary,kasaï,Monogamous,non denominational/charismatic/apostolic,15-19,urban,married,1-2,2.968621,2,50
No,no,richest,secondary,kasaï,Monogamous,protestant,20-24,urban,married,1-2,2.968621,2,50
No,yes,richer,primary,kwilu,Monogamous,non denominational/charismatic/apostolic,35-39,urban,living with partner,5+,1.82927,3,29
Yes,no,richer,secondary,kwilu,Monogamous,protestant,20-24,urban,married,0,1.82927,3,29
Yes,yes,richer,higher,kwilu,Monogamous,catholic,40-44,urban,married,0,1.82927,3,29
No,yes,richest,higher,kwilu,Monogamous,non denominational/charismatic/apostolic,35-39,urban,married,0,1.82927,3,29
Yes,no,richer,no education,kwilu,Polygamous,catholic,35-39,urban,married,0,1.82927,3,29
Yes,yes,richer,no education,kwilu,Monogamous,catholic,40-44,urban,living with partner,0,1.82927,3,29
Yes,yes,richer,secondary,kwilu,Monogamous,catholic,35-39,urban,living with partner,3-4,1.82927,3,29
No,no,richest,secondary,kwilu,Monogamous,non denominational/charismatic/apostolic,45-49,urban,married,3-4,1.82927,3,29
Yes,yes,poorer,no education,kwilu,Monogamous,protestant,40-44,urban,living with partner,5+,1.82927,3,29
Yes,yes,richer,secondary,kwilu,Monogamous,non denominational/charismatic/apostolic,25-29,urban,living with partner,3-4,1.82927,3,29
Yes,yes,middle,secondary,kwilu,Monogamous,non denominational/charismatic/apostolic,20-24,urban,living with partner,1-2,1.82927,3,29
Yes,no,richer,secondary,kwilu,Monogamous,catholic,25-29,urban,living with partner,1-2,1.82927,3,29
