Women autonomy,employment,household_wealth,education,age,place_of_residence,marital_status,religion_animisttraditional_religion,religion_catholic,religion_jehovah_witness,religion_kimbanguiste,religion_muslim,religion_no_religion,religion_non_denominationalcharismaticapostolic,religion_other,religion_protestant,household_structure_monogamous,household_structure_polygamous,region_of_residence_bas_uele,region_of_residence_equateur,region_of_residence_haut_lomami,region_of_residence_haut_uele,region_of_residence_haut_katanga,region_of_residence_ituri,region_of_residence_kasaï,region_of_residence_kasaï_central,region_of_residence_kasaï_oriental,region_of_residence_kinshasa,region_of_residence_kongo_central,region_of_residence_kwango,region_of_residence_kwilu,region_of_residence_lomami,region_of_residence_lualaba,region_of_residence_mai_ndombe,region_of_residence_maniema,region_of_residence_mongala,region_of_residence_nord_ubangi,region_of_residence_nord_kivu,region_of_residence_sankuru,region_of_residence_sud_ubangi,region_of_residence_sud_kivu,region_of_residence_tanganyika,region_of_residence_tshopo,region_of_residence_tshuapa,number_of_children_living_0,number_of_children_living_1_2,number_of_children_living_3_4,number_of_children_living_5+,Survey_Weight,PSU_Cluster,Survey_Strata
1,1,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.203638,1,4
0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.203638,1,4
1,1,0,1,4,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.203638,1,4
0,1,0,0,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.203638,1,4
1,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.203638,1,4
1,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.203638,1,4
0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.203638,1,4
1,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.203638,1,4
1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.203638,1,4
0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.203638,1,4
